"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1,C2,C3,C6","4","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4","1","10uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C5","1","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"C7","1","22uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"D1","1","LED_RGB","","","","LED_SMD:LED_RGB_5050-6","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","BOM에서 제외됨","","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~"
"J1","1","5267-04A","","","","Connector_Molex:Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical","~"
"J2","1","5267-02A","","","","Connector_Molex:Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical","~"
"J3","1","5267-06A","","","","Connector_Molex:Molex_SPOX_5267-06A_1x06_P2.50mm_Vertical","~"
"J4","1","Conn_01x03","","","","Connector_Molex:Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical","~"
"Q1","1","IRLML2402TR","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering",""
"R1","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3,R4,R5,R6,R9,R10,R11,R12,R13","10","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R7","1","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R8","1","47k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"U1","1","L7805","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","ESP32-C3_SUPERMINI_TH","","","","esp c3:MODULE_ESP32-C3_SUPERMINI_TH",""
"U4","1","~","","","","Library:ds3231",""
"U5","1","~","","","","Library:BMP280",""
"U6","1","~","","","","Library:MPU6050",""
