Designator,Footprint,Quantity,Value,LCSC Part #
A1,YD-ESP32-S3,1,YD-ESP32-S3,
BT1,S8411-45R_1,1,CR1220,C70381
"C1, C2",0805,2,22uF,
"C10, C9",CP_Elec_6.3x5.3,2,100uF,
"C11, C13, C15",0805,3,0.1uF,C14663
C12,0805,1,10nF,C57112
"C14, C5, C6",0805,3,0.1uF,
"C16, C3, C4",0805,3,10uF,
C17,0805,1,1uF,
"C7, C8",0805,2,47pF,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
"J1, J7",AMASS_XT30U-F_1x02_P5.0mm_Vertical,2,5267-02A,
J2,Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical,1,5267-02A,
"J3, J5",Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,2,Conn_01x03,
"J4, J8",Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical,2,Conn_01x04,
J6,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,5267-02A,
J9,HRS_DM3D-SF,1,DM3D-SF,
"L1, L2",L_Sumida_CDMC6D28_7.25x6.5mm,2,6.8uH,
Q1,TO-220-3_Horizontal_TabDown,1,IRLB8721PBF,
"R1, R3",0805,2,158K,
"R10, R11, R12, R13, R5, R6, R8, R9",0805,8,10k,C25804
R14,0805,1,22,C25804
"R15, R16",0805,2,100,C25804
"R2, R4",0805,2,30.1K,
R7,0805,1,220,
SW1,SW_PUSH_6mm_H5mm,1,SW_Push,
"U1, U2",TSOT-23-6,2,AP63300QWU,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,
U5,QFN-24-1EP_3x3mm_P0.4mm_EP1.75x1.6mm,1,MPU-6500,C50278
U6,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
U7,VISHAY_VCNL4040_4X2X1.1,1,VCNL4040M3OE,
