Designator,Mid X,Mid Y,Rotation,Layer
A1,110.50184,-63.29,0.0,bottom
BT1,105.525,-30.75,90.0,top
C1,119.25,-47.75,180.0,top
C10,120.5,-28.0,180.0,top
C11,108.25,-66.25,90.0,top
C12,105.75,-66.25,90.0,top
C13,105.75,-69.75,270.0,top
C14,106.0,-26.0,270.0,bottom
C15,120.5,-94.75,90.0,top
C16,118.25,-94.75,90.0,top
C17,103.75,-25.95,270.0,bottom
C2,110.75,-73.25,270.0,top
C3,110.75,-51.5,270.0,top
C4,110.75,-55.25,90.0,top
C5,116.0,-69.75,90.0,top
C6,115.75,-43.25,90.0,top
C7,113.5,-73.25,90.0,top
C8,113.25,-47.0,90.0,top
C9,116.75,-54.25,180.0,top
D1,129.25,-80.75,0.0,bottom
H1,88.8,-88.0,0.0,top
H2,88.8,-28.0,0.0,top
H3,128.8,-88.0,0.0,top
H4,128.8,-28.0,0.0,top
J1,127.7,-95.0,0.0,bottom
J2,88.75,-36.0,270.0,bottom
J3,128.75,-37.25,270.0,bottom
J4,128.75,-60.5,270.0,bottom
J5,128.75,-48.25,270.0,bottom
J6,89.25,-58.25,90.0,bottom
J7,90.3,-95.0036,180.0,bottom
J8,88.75,-47.0,270.0,bottom
J9,110.575,-91.725,0.0,top
L1,118.0,-62.5,90.0,top
L2,118.0,-36.75,90.0,top
Q1,90.25,-64.27,180.0,bottom
R1,113.5,-69.75,270.0,top
R10,106.0,-77.75,90.0,top
R11,108.5,-77.75,90.0,top
R12,111.0,-77.75,90.0,top
R13,113.5,-77.75,90.0,top
R14,101.5,-25.93,270.0,bottom
R15,90.75,-70.0,270.0,top
R16,93.25,-70.0,270.0,top
R2,116.0,-73.25,90.0,top
R3,113.25,-43.25,270.0,top
R4,115.75,-47.0,90.0,top
R5,110.75,-69.75,270.0,top
R6,110.75,-66.25,270.0,top
R7,129.25,-80.75,270.0,top
R8,101.0,-77.75,90.0,top
R9,103.5,-77.75,90.0,top
SW1,129.25,-72.75,90.0,bottom
U1,119.5,-71.5,270.0,top
U2,119.25,-43.75,270.0,top
U3,105.0,-53.75,0.0,top
U4,96.75,-31.5,270.0,bottom
U5,108.987509,-60.501791,90.0,top
U6,105.5,-44.0,270.0,top
U7,96.75,-27.0,270.0,bottom
